qsize 7, out_qsize 0
2016-06-15 15:40:49,839: INFO: PROGRESS: at 93.62% examples, 258522 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:50,866: INFO: PROGRESS: at 93.67% examples, 258523 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:51,869: INFO: PROGRESS: at 93.72% examples, 258525 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:40:52,880: INFO: PROGRESS: at 93.78% examples, 258525 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:53,928: INFO: PROGRESS: at 93.84% examples, 258529 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:40:54,944: INFO: PROGRESS: at 93.90% examples, 258531 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:55,976: INFO: PROGRESS: at 93.96% examples, 258532 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:40:57,000: INFO: PROGRESS: at 94.01% examples, 258527 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:58,003: INFO: PROGRESS: at 94.07% examples, 258535 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:59,060: INFO: PROGRESS: at 94.12% examples, 258534 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:00,133: INFO: PROGRESS: at 94.17% examples, 258536 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:41:01,155: INFO: PROGRESS: at 94.23% examples, 258535 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:02,169: INFO: PROGRESS: at 94.28% examples, 258536 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:03,191: INFO: PROGRESS: at 94.33% examples, 258538 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:04,270: INFO: PROGRESS: at 94.38% examples, 258537 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:05,307: INFO: PROGRESS: at 94.43% examples, 258537 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:06,328: INFO: PROGRESS: at 94.48% examples, 258541 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:41:07,322: INFO: PROGRESS: at 94.52% examples, 258540 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:41:08,387: INFO: PROGRESS: at 94.58% examples, 258541 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:41:09,418: INFO: PROGRESS: at 94.64% examples, 258543 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:41:10,426: INFO: PROGRESS: at 94.70% examples, 258548 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:11,436: INFO: PROGRESS: at 94.75% examples, 258549 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:12,479: INFO: PROGRESS: at 94.80% examples, 258550 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:13,500: INFO: PROGRESS: at 94.85% examples, 258552 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:41:14,517: INFO: PROGRESS: at 94.91% examples, 258552 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:15,555: INFO: PROGRESS: at 94.97% examples, 258551 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:16,596: INFO: PROGRESS: at 95.02% examples, 258554 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:17,616: INFO: PROGRESS: at 95.09% examples, 258575 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:18,624: INFO: PROGRESS: at 95.15% examples, 258576 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:41:19,702: INFO: PROGRESS: at 95.19% examples, 258578 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:41:20,703: INFO: PROGRESS: at 95.24% examples, 258578 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:21,740: INFO: PROGRESS: at 95.29% examples, 258605 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:41:22,741: INFO: PROGRESS: at 95.35% examples, 258662 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:41:23,745: INFO: PROGRESS: at 95.40% examples, 258687 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:24,771: INFO: PROGRESS: at 95.45% examples, 258687 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:25,788: INFO: PROGRESS: at 95.51% examples, 258689 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:26,829: INFO: PROGRESS: at 95.55% examples, 258691 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:41:27,837: INFO: PROGRESS: at 95.61% examples, 258693 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:41:28,842: INFO: PROGRESS: at 95.66% examples, 258699 words/s, in_qsize 6, out_qsize 0
2016-06-15 15:41:29,844: INFO: PROGRESS: at 95.70% examples, 258699 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:30,861: INFO: PROGRESS: at 95.74% examples, 258702 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:41:31,861: INFO: PROGRESS: at 95.79% examples, 258701 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:32,869: INFO: PROGRESS: at 95.83% examples, 258700 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:33,872: INFO: PROGRESS: at 95.88% examples, 258697 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:34,877: INFO: PROGRESS: at 95.92% examples, 258702 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:41:35,912: INFO: PROGRESS: at 95.97% examples, 258698 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:36,927: INFO: PROGRESS: at 96.01% examples, 258703 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:41:37,941: INFO: PROGRESS: at 96.07% examples, 258703 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:38,974: INFO: PROGRESS: at 96.12% examples, 258704 words/s, in_qsize 7, out_qsize 1
2016-06-15 15:41:39,986: INFO: PROGRESS: at 96.18% examples, 258707 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:41,010: INFO: PROGRESS: at 96.22% examples, 258706 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:42,029: INFO: PROGRESS: at 96.27% examples, 258708 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:43,043: INFO: PROGRESS: at 96.31% examples, 258706 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:44,089: INFO: PROGRESS: at 96.36% examples, 258706 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:41:45,151: INFO: PROGRESS: at 96.41% examples, 258705 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:41:46,217: INFO: PROGRESS: at 96.46% examples, 258703 words/s, in_qsize 8, out_qsize 1
2016-06-15 15:41:47,227: INFO: PROGRESS: at 96.50% examples, 258706 words/s, in_qsize 8, out_qsize 1
2016-06-15 15:41:48,241: INFO: PROGRESS: at 96.55% examples, 258710 words/s, in_qsize 8, out_qsize 0
